
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                     117.15
8                     116.70
16                    103.73
32                    102.07
64                    107.70
128                   115.27
256                   108.45
512                   112.19
1024                  133.41
2048                  113.85
4096                  156.00
8192                  189.24
16384                 215.70
32768                 219.69
65536                 219.72
131072                282.64
262144                362.15
524288                536.80
1048576              1065.04
