
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                     100.67
8                     101.74
16                    101.39
32                    102.86
64                    102.17
128                   102.92
256                   104.15
512                   105.19
1024                  109.58
2048                   97.05
4096                  154.40
8192                  189.67
16384                 193.70
32768                 198.88
65536                 219.86
131072                287.05
262144                411.35
524288                549.72
1048576               880.33
