
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                      88.73
8                      89.25
16                     90.50
32                     88.63
64                     89.80
128                    89.56
256                    91.71
512                    93.17
1024                   94.67
2048                   97.70
4096                  143.94
8192                  136.40
16384                 146.39
32768                 174.79
65536                 172.82
131072                225.74
262144                315.13
524288                494.69
1048576               869.23
