
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                      32.20
8                      32.06
16                     32.10
32                     32.31
64                     32.36
128                    32.91
256                    33.84
512                    33.95
1024                   35.57
2048                   37.63
4096                   62.52
8192                   87.29
16384                 109.33
32768                 149.54
65536                 231.27
131072                445.54
262144                251.04
524288                402.94
1048576               707.65
