# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       1.70
2                       3.59
4                       7.22
8                      14.67
16                     29.16
32                     58.27
64                    106.96
128                   211.57
256                   421.06
512                   819.71
1024                 1523.31
2048                 2573.45
4096                 4375.61
8192                 7183.51
16384                8524.87
32768                9931.61
65536               10956.85
131072              13436.74
262144              13723.44
524288              13848.69
1048576             23637.59
2097152             23987.80
4194304             24201.77
