# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                       7.47
1                       7.50
2                       7.49
4                       7.49
8                       7.81
16                      7.79
32                      7.82
64                      7.93
128                     7.95
256                     7.94
512                     8.00
1024                    8.09
2048                    8.37
4096                    8.77
8192                    9.64
16384                  10.17
32768                  11.41
65536                  14.04
131072                 34.08
262144                 44.26
524288                 80.57
1048576                77.85
2097152               156.04
4194304               238.90
