
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                      83.49
8                      84.42
16                     83.80
32                     84.37
64                     84.61
128                    85.71
256                    88.47
512                    87.37
1024                   88.64
2048                  104.53
4096                  103.60
8192                  131.72
16384                 151.30
32768                 209.62
65536                 254.23
131072                609.32
262144                294.07
524288                466.48
1048576               785.59
