
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                      43.35
8                      37.44
16                     37.88
32                     42.35
64                     38.29
128                    38.06
256                    41.18
512                    43.01
1024                   47.47
2048                   48.53
4096                   67.61
8192                   97.11
16384                 118.53
32768                 163.84
65536                 256.95
131072                488.19
262144                277.56
524288                446.93
1048576               792.31
