# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       1.69
2                       3.54
4                       7.26
8                      14.46
16                     29.02
32                     58.22
64                    106.02
128                   210.79
256                   416.14
512                   813.42
1024                 1511.89
2048                 2552.77
4096                 4283.29
8192                 7166.84
16384                8485.44
32768                9921.67
65536               11182.46
131072              13437.28
262144              13676.63
524288              13831.98
1048576             23727.82
2097152             24004.60
4194304             24193.26
