
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                      83.34
8                      83.86
16                     83.87
32                     84.93
64                     84.82
128                    84.49
256                    86.51
512                    88.74
1024                   89.33
2048                   92.53
4096                  104.19
8192                  131.18
16384                 151.01
32768                 206.71
65536                 254.09
131072                609.10
262144                330.82
524288                504.73
1048576               827.51
