# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                       7.46
1                       7.49
2                       7.47
4                       7.48
8                       7.79
16                      7.80
32                      7.80
64                      7.90
128                     7.91
256                     7.94
512                     7.96
1024                    8.08
2048                    8.33
4096                    8.73
8192                    9.57
16384                  10.21
32768                  11.49
65536                  13.99
131072                 33.93
262144                 44.16
524288                 80.85
1048576                77.85
2097152               156.29
4194304               237.79
