
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                      32.48
8                      32.13
16                     32.55
32                     32.21
64                     32.47
128                    32.64
256                    33.47
512                    34.09
1024                   35.57
2048                   37.17
4096                   62.52
8192                   87.56
16384                 109.16
32768                 149.04
65536                 230.39
131072                448.43
262144                249.19
524288                403.65
1048576               705.87
