# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       1.71
2                       3.57
4                       7.25
8                      14.50
16                     29.26
32                     58.77
64                    106.47
128                   212.00
256                   418.40
512                   819.24
1024                 1527.81
2048                 2555.44
4096                 4287.58
8192                 7121.92
16384                8460.63
32768               10192.55
65536               11047.46
131072              13491.66
262144              13705.97
524288              13846.08
1048576             23711.53
2097152             23993.08
4194304             24194.85
