# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                       7.48
1                       7.50
2                       7.49
4                       7.49
8                       7.81
16                      7.81
32                      7.80
64                      7.92
128                     7.93
256                     7.95
512                     7.98
1024                    8.09
2048                    8.36
4096                    8.78
8192                    9.62
16384                  10.19
32768                  11.40
65536                  14.06
131072                 33.98
262144                 44.01
524288                 80.76
1048576                77.93
2097152               156.89
4194304               239.46
