
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                      32.47
8                      32.03
16                     32.16
32                     32.34
64                     32.33
128                    32.87
256                    33.81
512                    33.82
1024                   35.42
2048                   37.28
4096                   62.62
8192                   87.25
16384                 109.53
32768                 149.46
65536                 229.84
131072                447.27
262144                251.16
524288                402.01
1048576               713.10
