
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                      83.45
8                      84.33
16                     84.47
32                     84.58
64                     84.45
128                    84.28
256                    86.40
512                    87.65
1024                   88.99
2048                   92.48
4096                  103.25
8192                  130.94
16384                 150.99
32768                 210.06
65536                 269.07
131072                611.02
262144                290.35
524288                465.23
1048576               776.80
