
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                      83.42
8                      83.78
16                     93.46
32                     85.12
64                     84.46
128                    85.03
256                    86.42
512                    88.05
1024                   88.98
2048                   92.79
4096                  121.84
8192                  130.99
16384                 150.75
32768                 207.48
65536                 254.43
131072                611.44
262144                308.73
524288                495.21
1048576               816.90
