# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                       7.46
1                       7.50
2                       7.47
4                       7.48
8                       7.79
16                      7.80
32                      7.79
64                      7.91
128                     7.91
256                     7.93
512                     7.97
1024                    8.08
2048                    8.34
4096                    8.78
8192                    9.58
16384                  10.13
32768                  11.35
65536                  13.91
131072                 33.86
262144                 44.06
524288                 80.87
1048576                77.66
2097152               156.19
4194304               238.97
