
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                      88.80
8                      89.08
16                     89.76
32                     88.72
64                     89.22
128                    90.78
256                    92.11
512                    92.31
1024                   94.65
2048                   98.19
4096                  140.39
8192                  135.31
16384                 146.09
32768                 158.94
65536                 212.99
131072                230.82
262144                335.29
524288                500.40
1048576               902.77
