# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       1.71
2                       3.58
4                       7.33
8                      14.58
16                     29.25
32                     58.49
64                    105.88
128                   211.21
256                   416.23
512                   814.23
1024                 1519.47
2048                 2545.23
4096                 4266.77
8192                 7165.14
16384                8396.85
32768               10129.85
65536               11497.53
131072              13435.86
262144              13666.00
524288              13749.15
1048576             23701.41
2097152             23929.91
4194304             24192.24
