# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       1.68
2                       3.53
4                       7.20
8                      14.44
16                     28.99
32                     58.04
64                    105.82
128                   210.23
256                   418.47
512                   817.23
1024                 1516.35
2048                 2556.91
4096                 4294.10
8192                 7158.81
16384                8704.60
32768               10426.75
65536               12001.98
131072              13455.14
262144              13713.86
524288              13833.66
1048576             23743.36
2097152             23976.05
4194304             24196.98
