# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       1.70
2                       3.57
4                       7.23
8                      14.55
16                     28.89
32                     58.09
64                    106.12
128                   209.60
256                   417.97
512                   819.09
1024                 1517.53
2048                 2546.18
4096                 4276.61
8192                 7105.12
16384                8280.05
32768                9876.68
65536               10859.01
131072              13434.20
262144              13716.81
524288              13818.44
1048576             23698.05
2097152             24004.93
4194304             24210.95
