# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       1.72
2                       3.59
4                       7.28
8                      14.57
16                     29.16
32                     58.19
64                    106.17
128                   213.17
256                   418.58
512                   822.11
1024                 1535.99
2048                 2576.16
4096                 4305.71
8192                 7264.92
16384                8585.82
32768               10205.84
65536               11320.54
131072              13491.97
262144              13679.60
524288              13838.68
1048576             23714.42
2097152             23961.85
4194304             24211.80
