# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       1.70
2                       3.58
4                       7.25
8                      14.62
16                     29.20
32                     58.43
64                    107.25
128                   211.68
256                   419.58
512                   819.04
1024                 1516.77
2048                 2575.71
4096                 4338.24
8192                 7094.86
16384                8401.19
32768                9935.04
65536               10825.30
131072              13487.17
262144              13712.38
524288              13792.13
1048576             23710.14
2097152             24010.09
4194304             24189.96
