
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                     104.20
8                     105.04
16                    104.55
32                    104.61
64                    105.05
128                   105.53
256                   107.71
512                   108.31
1024                  110.78
2048                  113.89
4096                  141.65
8192                  144.43
16384                 149.19
32768                 161.33
65536                 186.46
131072                238.06
262144                326.04
524288                508.92
1048576               843.88
