
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                      32.44
8                      32.19
16                     32.23
32                     32.26
64                     32.22
128                    32.89
256                    33.47
512                    34.21
1024                   35.33
2048                   36.96
4096                   62.32
8192                   87.57
16384                 108.96
32768                 150.67
65536                 229.89
131072                448.17
262144                249.28
524288                409.08
1048576               708.09
