
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                     101.71
8                     101.56
16                    101.86
32                    101.33
64                    104.10
128                   103.90
256                   104.24
512                   105.58
1024                  111.91
2048                   96.48
4096                  158.41
8192                  187.72
16384                 189.24
32768                 215.74
65536                 219.88
131072                275.02
262144                360.09
524288                537.34
1048576               875.31
