# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       1.70
2                       3.55
4                       7.18
8                      14.41
16                     28.97
32                     57.92
64                    106.63
128                   210.53
256                   418.60
512                   817.35
1024                 1504.57
2048                 2566.14
4096                 4294.04
8192                 7092.62
16384                8368.22
32768                9879.70
65536               10728.49
131072              13490.68
262144              13706.94
524288              13818.43
1048576             23694.76
2097152             24007.20
4194304             24210.45
