
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                      83.45
8                      83.70
16                     84.18
32                     84.44
64                     84.65
128                    84.57
256                    87.04
512                    87.25
1024                   88.94
2048                   93.11
4096                  103.69
8192                  133.05
16384                 168.45
32768                 211.41
65536                 253.69
131072                610.57
262144                332.75
524288                481.51
1048576               782.65
