# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                       7.47
1                       7.51
2                       7.49
4                       7.49
8                       7.81
16                      7.81
32                      7.79
64                      7.93
128                     7.94
256                     7.94
512                     7.98
1024                    8.10
2048                    8.35
4096                    8.81
8192                    9.60
16384                  10.21
32768                  11.42
65536                  14.00
131072                 33.88
262144                 44.04
524288                 80.63
1048576                77.90
2097152               155.78
4194304               239.95
