
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                      88.23
8                      88.98
16                     90.80
32                     89.21
64                     89.01
128                    89.64
256                    91.39
512                    92.98
1024                   94.71
2048                   98.13
4096                  137.53
8192                  136.50
16384                 156.41
32768                 168.10
65536                 170.98
131072                227.04
262144                315.48
524288                539.15
1048576               867.35
