# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       1.70
2                       3.55
4                       7.24
8                      14.49
16                     29.06
32                     58.32
64                    106.29
128                   211.50
256                   419.62
512                   818.84
1024                 1511.64
2048                 2549.08
4096                 4370.73
8192                 7135.51
16384                8418.79
32768                9884.75
65536               10733.68
131072              13463.82
262144              13696.68
524288              13818.45
1048576             23692.27
2097152             23940.43
4194304             24193.18
