
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                      32.12
8                      32.14
16                     32.23
32                     32.25
64                     32.53
128                    32.80
256                    33.92
512                    34.12
1024                   35.67
2048                   37.37
4096                   62.28
8192                   87.27
16384                 109.10
32768                 149.62
65536                 229.99
131072                450.91
262144                250.11
524288                400.88
1048576               706.90
