# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                       7.45
1                       7.48
2                       7.46
4                       7.47
8                       7.77
16                      7.78
32                      7.78
64                      7.90
128                     7.92
256                     7.93
512                     7.96
1024                    8.08
2048                    8.33
4096                    8.79
8192                    9.59
16384                  10.18
32768                  11.44
65536                  14.03
131072                 33.95
262144                 44.07
524288                 80.65
1048576                77.90
2097152               156.09
4194304               239.45
