# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                       7.47
1                       7.50
2                       7.48
4                       7.49
8                       7.79
16                      7.79
32                      7.80
64                      7.92
128                     7.92
256                     7.95
512                     7.99
1024                    8.08
2048                    8.35
4096                    8.76
8192                    9.57
16384                  10.19
32768                  11.46
65536                  14.05
131072                 34.01
262144                 44.08
524288                 80.51
1048576                77.87
2097152               157.06
4194304               241.04
