
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                      83.53
8                      84.19
16                     84.64
32                     84.60
64                     84.30
128                    87.72
256                    86.38
512                    87.17
1024                   89.02
2048                   92.46
4096                  102.85
8192                  131.32
16384                 152.11
32768                 207.11
65536                 254.58
131072                604.37
262144                292.64
524288                504.43
1048576               812.15
