
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                      88.99
8                      89.22
16                     90.12
32                     88.53
64                     89.33
128                    91.36
256                    91.64
512                    92.44
1024                   94.72
2048                   97.62
4096                  141.08
8192                  135.42
16384                 142.93
32768                 164.21
65536                 175.11
131072                229.52
262144                315.50
524288                498.17
1048576               940.18
