# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       1.70
2                       3.56
4                       7.25
8                      14.56
16                     29.21
32                     58.26
64                    105.99
128                   211.51
256                   420.39
512                   818.92
1024                 1520.15
2048                 2562.50
4096                 4294.76
8192                 7171.48
16384                8408.72
32768                9970.30
65536               11196.59
131072              13436.66
262144              13635.60
524288              13755.81
1048576             23752.95
2097152             23965.01
4194304             24212.64
