
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                      83.10
8                      83.57
16                     83.81
32                     84.44
64                     84.05
128                    84.41
256                    86.13
512                    87.03
1024                   88.85
2048                   92.50
4096                  103.39
8192                  130.64
16384                 150.49
32768                 210.76
65536                 254.64
131072                611.42
262144                291.68
524288                467.38
1048576               795.75
