
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                     100.66
8                     102.97
16                    101.97
32                    101.51
64                    102.13
128                   103.01
256                   105.66
512                   105.24
1024                  108.82
2048                   94.10
4096                  155.75
8192                  193.46
16384                 189.26
32768                 198.72
65536                 223.53
131072                283.32
262144                397.51
524288                549.13
1048576               917.97
