
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                     100.97
8                     101.75
16                    101.48
32                    102.72
64                    102.14
128                   102.10
256                   103.83
512                   109.48
1024                  109.10
2048                   96.22
4096                  153.33
8192                  191.16
16384                 188.13
32768                 199.13
65536                 235.97
131072                292.50
262144                363.11
524288                540.03
1048576               948.23
