# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                       7.44
1                       7.48
2                       7.46
4                       7.46
8                       7.77
16                      7.77
32                      7.77
64                      7.89
128                     7.89
256                     7.90
512                     7.95
1024                    8.05
2048                    8.32
4096                    8.75
8192                    9.57
16384                  10.20
32768                  11.41
65536                  14.04
131072                 34.00
262144                 44.19
524288                 80.70
1048576                77.81
2097152               156.17
4194304               236.35
