
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                     112.47
8                     102.09
16                    103.72
32                    101.77
64                    104.20
128                   103.48
256                   105.24
512                   105.24
1024                  108.70
2048                  108.89
4096                  156.34
8192                  188.27
16384                 195.74
32768                 205.04
65536                 217.32
131072                275.58
262144                364.77
524288                536.68
1048576               880.25
