# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                       7.48
1                       7.51
2                       7.49
4                       7.50
8                       7.82
16                      7.81
32                      7.81
64                      7.93
128                     7.95
256                     7.95
512                     8.01
1024                    8.10
2048                    8.36
4096                    8.79
8192                    9.61
16384                  10.23
32768                  11.40
65536                  13.97
131072                 33.83
262144                 44.03
524288                 80.55
1048576                77.89
2097152               156.53
4194304               239.14
