
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                      88.20
8                      90.67
16                     89.41
32                     88.72
64                     91.60
128                    90.32
256                    92.36
512                    92.91
1024                   94.50
2048                   98.55
4096                  134.71
8192                  139.28
16384                 166.57
32768                 156.63
65536                 171.25
131072                228.09
262144                315.76
524288                539.05
1048576               958.08
