# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                       7.47
1                       7.51
2                       7.47
4                       7.49
8                       7.79
16                      7.80
32                      7.79
64                      7.92
128                     7.93
256                     7.94
512                     7.98
1024                    8.08
2048                    8.33
4096                    8.77
8192                    9.58
16384                  10.18
32768                  11.40
65536                  14.01
131072                 33.91
262144                 43.93
524288                 80.52
1048576                78.02
2097152               156.51
4194304               238.99
