# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       1.69
2                       3.58
4                       7.27
8                      14.62
16                     29.21
32                     58.45
64                    106.51
128                   211.03
256                   418.00
512                   818.60
1024                 1519.46
2048                 2566.00
4096                 4314.71
8192                 7190.33
16384                8367.70
32768                9880.81
65536               10715.03
131072              13457.05
262144              13654.90
524288              13828.33
1048576             23727.31
2097152             23961.02
4194304             24194.56
