
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                      83.72
8                      83.76
16                     83.83
32                     84.14
64                     85.15
128                    84.77
256                    86.86
512                    87.67
1024                   89.37
2048                   92.79
4096                  103.00
8192                  131.32
16384                 153.95
32768                 208.33
65536                 259.18
131072                615.11
262144                292.20
524288                465.56
1048576               805.60
