
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                      99.05
8                      92.99
16                     90.51
32                     99.27
64                     91.69
128                    91.94
256                    94.35
512                   108.68
1024                  107.74
2048                  107.88
4096                  140.09
8192                  139.74
16384                 169.75
32768                 159.36
65536                 171.82
131072                226.77
262144                356.22
524288                506.87
1048576               994.43
