# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                       7.47
1                       7.49
2                       7.46
4                       7.48
8                       7.79
16                      7.79
32                      7.78
64                      7.88
128                     7.89
256                     7.90
512                     7.95
1024                    8.03
2048                    8.33
4096                    8.84
8192                    9.58
16384                  10.21
32768                  11.41
65536                  13.85
131072                 33.95
262144                 43.99
524288                 80.50
1048576                77.80
2097152               156.26
4194304               240.61
