
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                      83.18
8                      83.88
16                     84.11
32                     84.40
64                     85.08
128                    84.68
256                    85.99
512                    87.26
1024                   88.89
2048                   92.31
4096                  102.87
8192                  131.26
16384                 150.53
32768                 206.81
65536                 256.40
131072                610.89
262144                309.49
524288                493.48
1048576               777.63
