
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                      88.67
8                      89.94
16                     88.86
32                     89.22
64                     92.44
128                    89.67
256                    94.27
512                    92.50
1024                   95.28
2048                  100.64
4096                  137.46
8192                  137.96
16384                 154.12
32768                 166.78
65536                 213.99
131072                227.93
262144                336.99
524288                498.24
1048576               833.55
