# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       1.69
2                       3.55
4                       7.23
8                      14.52
16                     29.09
32                     58.34
64                    106.22
128                   211.74
256                   419.97
512                   819.36
1024                 1532.00
2048                 2569.09
4096                 4328.64
8192                 7150.40
16384                8438.63
32768               10032.63
65536               11219.28
131072              13539.39
262144              13688.18
524288              13822.78
1048576             23699.82
2097152             23939.32
4194304             24221.08
