# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                       7.47
1                       7.50
2                       7.49
4                       7.50
8                       7.79
16                      7.79
32                      7.80
64                      7.91
128                     7.93
256                     7.93
512                     7.98
1024                    8.09
2048                    8.36
4096                    8.74
8192                    9.61
16384                  10.15
32768                  11.37
65536                  13.95
131072                 33.93
262144                 44.00
524288                 80.67
1048576                77.95
2097152               156.82
4194304               238.29
