
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                      32.15
8                      32.17
16                     32.10
32                     32.04
64                     32.24
128                    32.71
256                    33.61
512                    34.21
1024                   35.28
2048                   37.03
4096                   62.96
8192                   87.36
16384                 108.96
32768                 148.27
65536                 229.02
131072                454.17
262144                251.25
524288                403.37
1048576               706.97
