
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                      39.00
8                      32.01
16                     32.15
32                     32.22
64                     32.28
128                    32.51
256                    33.60
512                    34.78
1024                   35.72
2048                   37.12
4096                   62.56
8192                   87.19
16384                 108.13
32768                 148.79
65536                 230.83
131072                453.50
262144                248.97
524288                405.65
1048576               704.38
