# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                       7.48
1                       7.51
2                       7.50
4                       7.49
8                       7.81
16                      7.81
32                      7.80
64                      7.91
128                     7.95
256                     7.96
512                     7.98
1024                    8.08
2048                    8.35
4096                    8.76
8192                    9.57
16384                  10.15
32768                  11.40
65536                  14.04
131072                 34.12
262144                 44.22
524288                 81.04
1048576                77.96
2097152               156.23
4194304               239.22
