
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                      88.50
8                      90.22
16                     90.45
32                     88.62
64                     89.25
128                    89.47
256                    92.04
512                    92.32
1024                   94.85
2048                   97.62
4096                  139.52
8192                  141.57
16384                 153.59
32768                 153.87
65536                 171.53
131072                258.87
262144                314.94
524288                536.31
1048576               927.44
