
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                      88.93
8                      90.36
16                     89.58
32                     88.44
64                     89.27
128                    90.17
256                    91.95
512                    92.55
1024                   94.65
2048                   97.64
4096                  140.11
8192                  149.01
16384                 148.64
32768                 159.36
65536                 171.87
131072                262.70
262144                388.24
524288                504.58
1048576               837.18
