# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                       7.47
1                       7.50
2                       7.48
4                       7.49
8                       7.80
16                      7.81
32                      7.80
64                      7.92
128                     7.94
256                     7.95
512                     7.98
1024                    8.09
2048                    8.35
4096                    8.78
8192                    9.63
16384                  10.20
32768                  11.47
65536                  14.03
131072                 33.95
262144                 43.95
524288                 80.35
1048576                77.84
2097152               156.09
4194304               239.01
