
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                     101.42
8                     102.94
16                    101.16
32                    103.89
64                    101.81
128                   103.35
256                   105.51
512                   104.92
1024                  107.54
2048                   96.05
4096                  155.74
8192                  192.95
16384                 186.09
32768                 203.61
65536                 220.30
131072                293.94
262144                371.08
524288                552.59
1048576               877.30
