
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                      32.25
8                      32.19
16                     32.14
32                     32.44
64                     32.38
128                    32.71
256                    33.75
512                    34.33
1024                   36.03
2048                   37.32
4096                   62.31
8192                   86.98
16384                 109.13
32768                 148.47
65536                 232.95
131072                450.33
262144                252.41
524288                402.26
1048576               706.41
