# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       1.68
2                       3.58
4                       7.31
8                      14.50
16                     29.05
32                     58.06
64                    106.57
128                   211.90
256                   421.10
512                   820.04
1024                 1522.82
2048                 2563.95
4096                 4337.34
8192                 7147.94
16384                8549.20
32768               10105.68
65536               10759.81
131072              13527.30
262144              13690.51
524288              13799.10
1048576             23699.46
2097152             24015.38
4194304             24188.29
