
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                      83.17
8                      83.88
16                     84.01
32                     83.82
64                     84.24
128                    84.34
256                    86.46
512                    87.01
1024                   89.40
2048                   92.45
4096                  102.92
8192                  131.36
16384                 151.18
32768                 206.53
65536                 259.56
131072                605.87
262144                290.90
524288                465.80
1048576               782.12
